sample_id,timestamp,datetime,j1,j2,j3,j4,j5,j6,x,y,z,raw_waypoint
50,1773665130.1299546,2026-03-16 20:45:30.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
51,1773665130.1499496,2026-03-16 20:45:30.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
52,1773665130.1699574,2026-03-16 20:45:30.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
53,1773665130.1899467,2026-03-16 20:45:30.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
54,1773665130.2099533,2026-03-16 20:45:30.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
55,1773665130.229957,2026-03-16 20:45:30.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
56,1773665130.2499633,2026-03-16 20:45:30.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
57,1773665130.2699468,2026-03-16 20:45:30.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
58,1773665130.2899776,2026-03-16 20:45:30.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
59,1773665130.3099725,2026-03-16 20:45:30.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
60,1773665130.329968,2026-03-16 20:45:30.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
61,1773665130.3499527,2026-03-16 20:45:30.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
62,1773665130.3699598,2026-03-16 20:45:30.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
63,1773665130.389952,2026-03-16 20:45:30.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
64,1773665130.4099593,2026-03-16 20:45:30.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
65,1773665130.4299462,2026-03-16 20:45:30.429,0.0,0.0,3.0617425181844737e-06,0.0,0.0,0.0,1.4650437949489816e-06,-0.2155,0.9849999999977571,"{'joint': [0.0, 0.0, 3.0617425181844737e-06, 0.0, 0.0, 0.0], 'ori': [0.707106781185719, 0.707106781185719, 1.0824901345234615e-06, -1.0824901345234615e-06], 'pos': [1.4650437949489816e-06, -0.2155, 0.9849999999977571]}"
66,1773665130.449939,2026-03-16 20:45:30.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
67,1773665130.4699373,2026-03-16 20:45:30.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
68,1773665130.4899457,2026-03-16 20:45:30.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
69,1773665130.5099463,2026-03-16 20:45:30.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
70,1773665130.5299504,2026-03-16 20:45:30.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
71,1773665130.5499494,2026-03-16 20:45:30.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
72,1773665130.569952,2026-03-16 20:45:30.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
73,1773665130.5899444,2026-03-16 20:45:30.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
74,1773665130.609972,2026-03-16 20:45:30.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
75,1773665130.6299474,2026-03-16 20:45:30.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
76,1773665130.6499722,2026-03-16 20:45:30.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
77,1773665130.6699703,2026-03-16 20:45:30.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
78,1773665130.6899486,2026-03-16 20:45:30.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
79,1773665130.7099583,2026-03-16 20:45:30.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
80,1773665130.7299445,2026-03-16 20:45:30.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
81,1773665130.7499511,2026-03-16 20:45:30.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
82,1773665130.7699456,2026-03-16 20:45:30.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
83,1773665130.7899542,2026-03-16 20:45:30.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
84,1773665130.8099601,2026-03-16 20:45:30.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
85,1773665130.8299713,2026-03-16 20:45:30.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2155,0.985,"{'joint': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'ori': [0.7071067811865476, 0.7071067811865476, 0.0, 0.0], 'pos': [0.0, -0.2155, 0.985]}"
